Lote;Registro Sanitario;RUC ; C¢digo Cliente ; Proveedor ; Raz¢n Social ;Fecha Ingreso ; Fecha Vcto ;T. Documento ; Nø de Documento ; C¢digo Interno ;Unidad (UND) ; UM ; Temp. ;Cant.Bulto;Cant. Cajas ;Cant.x Caja;Cant.Fracci¢n; Cantidad Total ;Fabricante ; Procedencia ; Observaciones
SM0612-062301;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0053;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062302;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0054;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062303;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0055;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062304;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0056;UND;;15¦ 25¦ C;1;1;36;0;36;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062305;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0057;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062306;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0058;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062307;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0059;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062308;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0060;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062309;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0061;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062310;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0062;UND;;15¦ 25¦ C;1;1;25;0;25;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062311;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0063;UND;;15¦ 25¦ C;1;1;25;0;25;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062312;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0064;UND;;15¦ 25¦ C;1;1;30;0;30;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062313;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0065;UND;;15¦ 25¦ C;1;1;36;0;36;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062314;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0066;UND;;15¦ 25¦ C;1;1;30;0;30;SUNMED INSTRUMENTS;PAKISTAN;
