Nº;Cod. Producto;Producto;Lote;Registro Sanitario;RUC ; Código Cliente ; Proveedor ; Razón Social ;Fecha Ingreso ; Fecha Vcto ;T. Documento ; N° de Documento ; Código Interno ;Unidad (UND) ; UM ; Temp. ;Cant.Bulto;Cant. Cajas ;Cant.x Caja;Cant.Fracción; Cantidad Total ;Fabricante ; Procedencia ; Observaciones
-19;SM 12-362;FORCEPS HARTMANN x 1 unidad;SM0612-062301;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0053;UND;;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;SUNMED INSTRUMENTS;PAKISTAN;
-18;SM 12-363;FORCEPS HARTMANN x 1 unidad;SM0612-062302;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0054;UND;;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;SUNMED INSTRUMENTS;PAKISTAN;
-17;SM 12-364;FORCEPS HARTMANN x 1 unidad;SM0612-062303;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0055;UND;;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;SUNMED INSTRUMENTS;PAKISTAN;
-16;SM 12-367;FORCEPS DUCKBILL x 1 unidad;SM0612-062304;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0056;UND;;15ª 25ª C;1.00;1.00;36.00;0.00;36.00;SUNMED INSTRUMENTS;PAKISTAN;
-15;SM 12-365;FORCEPS HARTMANN x 1 unidad;SM0612-062305;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0057;UND;;15ª 25ª C;1.00;1.00;6.00;0.00;6.00;SUNMED INSTRUMENTS;PAKISTAN;
-14;SM 112-23012;FORCEPS HALSTEAD MOSQUITO x 1 unidad;SM0612-062306;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0058;UND;;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;SUNMED INSTRUMENTS;PAKISTAN;
-13;SM 110-17412;FORCEPS ADSON x 1 unidad;SM0612-062307;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0059;UND;;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;SUNMED INSTRUMENTS;PAKISTAN;
-12;SM 110-17912;FORCEPS ADSON DRESSING  x 1 unidad;SM0612-062308;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0060;UND;;15ª 25ª C;1.00;1.00;24.00;0.00;24.00;SUNMED INSTRUMENTS;PAKISTAN;
-11;SM 110-18802;FORCEPS BROWN-ADSON x 1 unidad;SM0612-062309;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0061;UND;;15ª 25ª C;1.00;1.00;24.00;0.00;24.00;SUNMED INSTRUMENTS;PAKISTAN;
-10;SM 142-94004;FORCEPS BISHOP-HARMON x 1 unidad;SM0612-062310;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0062;UND;;15ª 25ª C;1.00;1.00;25.00;0.00;25.00;SUNMED INSTRUMENTS;PAKISTAN;
