Ítem;Cod. Producto;Producto;Lote;Fecha Vcto;UM;Fabri.;Temp.;Cant.Bulto;Cant.Cajas;Cant.x Caja;Cant.Fracción;Cant.Total_Ingreso;Fecha de H_Ingreso;MES;DIA;RUC;AÑO
1;SM 12-362;FORCEPS HARTMANN x 1 unidad;SM0612-062301;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;24/06/2025;Junio;24;20608438018;2025
2;SM 12-363;FORCEPS HARTMANN x 1 unidad;SM0612-062302;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;24/06/2025;Junio;24;20608438018;2025
3;SM 12-364;FORCEPS HARTMANN x 1 unidad;SM0612-062303;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;24/06/2025;Junio;24;20608438018;2025
4;SM 12-367;FORCEPS DUCKBILL x 1 unidad;SM0612-062304;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;36.00;0.00;36.00;24/06/2025;Junio;24;20608438018;2025
5;SM 12-365;FORCEPS HARTMANN x 1 unidad;SM0612-062305;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;6.00;0.00;6.00;24/06/2025;Junio;24;20608438018;2025
6;SM 112-23012;FORCEPS HALSTEAD MOSQUITO x 1 unidad;SM0612-062306;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;24/06/2025;Junio;24;20608438018;2025
7;SM 110-17412;FORCEPS ADSON x 1 unidad;SM0612-062307;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;12.00;0.00;12.00;24/06/2025;Junio;24;20608438018;2025
8;SM 110-17912;FORCEPS ADSON DRESSING  x 1 unidad;SM0612-062308;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;24.00;0.00;24.00;24/06/2025;Junio;24;20608438018;2025
9;SM 110-18802;FORCEPS BROWN-ADSON x 1 unidad;SM0612-062309;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;24.00;0.00;24.00;24/06/2025;Junio;24;20608438018;2025
10;SM 142-94004;FORCEPS BISHOP-HARMON x 1 unidad;SM0612-062310;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;25.00;0.00;25.00;24/06/2025;Junio;24;20608438018;2025
11;SM 142-94006;FORCEPS BISHOP-HARMON x 1 unidad;SM0612-062311;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;25.00;0.00;25.00;24/06/2025;Junio;24;20608438018;2025
12;SM 112-23112;FORCEPS HALSTEAD MOSQUITO x 1 unidad;SM0612-062312;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;30.00;0.00;30.00;24/06/2025;Junio;24;20608438018;2025
13;SM 112-22012;FORCEPS HALSTEAD MOSQUITO x 1 unidad;SM0612-062313;N/A;;SUNMED INSTRUMENTS;15ª 25ª C;1.00;1.00;36.00;0.00;36.00;24/06/2025;Junio;24;20608438018;2025
