codigo_producto,solicitado_csv,despachado_nota,diferencia,estado
800039,202.00,126.00,76.00,RECORTADO
900129,197.00,139.00,58.00,RECORTADO
HC-C3B-15-D,29.00,11.00,18.00,RECORTADO
HC-C3B-30-D,60.00,40.00,20.00,RECORTADO
HC-DBM-P2.5,13.00,7.00,6.00,RECORTADO
HRF201010,264.00,238.00,26.00,RECORTADO
OB1110T,272.00,19.00,253.00,RECORTADO
SFA7040,2.00,0.00,2.00,OMITIDO
SFA7045,2.00,1.00,1.00,RECORTADO
SFRA6040,23.00,4.00,19.00,RECORTADO
SFRA6045,19.00,1.00,18.00,RECORTADO
SFUA6040,20.00,18.00,2.00,RECORTADO
VK01111505,147.00,0.00,147.00,OMITIDO
