producto_id,codigo,descripcion,stock_total
4158,800039,"V-STEADY, X CAJA",0.00
4448,800039,V-STEADY X 01 und.,0.00
4160,800039,"V-STEADY, X CAJA",0.00
4159,800039,"V-STEADY, X CAJA",0.00
4585,800039,"V-STEADY, X CAJA",0.00
4287,800039,"V-STEADY, X CAJA",0.00
4161,800039,"V-STEADY, X CAJA",0.00
4513,800039,"V-STEADY, X CAJA",0.00
4103,900016,"WINCH KYPHOPLASTY KIT, 15MM",0.00
4104,900016,"WINCH KYPHOPLASTY KIT, 15MM",0.00
4586,900016,"WINCH KYPHOPLASTY KIT, 15MM",0.00
4109,900016,"WINCH KYPHOPLASTY KIT, 15MM",0.00
4416,900016,"WINCH KYPHOPLASTY KIT, 15MM",0.00
4415,900016B,"WINCH BILATERAL KYPHOPLASTY KIT, 15MM",0.00
4588,900016B,"WINCH BILATERAL KYPHOPLASTY KIT, 15MM",0.00
4516,900016B,"WINCH BILATERAL KYPHOPLASTY KIT, 15MM",0.00
4108,900016B,"WINCH BILATERAL KYPHOPLASTY KIT, 15MM",0.00
4102,900016B,"WINCH BILATERAL KYPHOPLASTY KIT, 15MM",0.00
4139,900129,PICOMIX V,0.00
4136,900129,PICOMIX V,0.00
4587,900129,PICOMIX V,0.00
4137,900129,PICOMIX V,0.00
4138,900129,PICOMIX V,0.00
4515,900129,PICOMIX V,0.00
4449,900129,PicoMix V X 01 und.,0.00
4140,900129,PICOMIX V,0.00
4457,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4460,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4456,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4451,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4455,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4459,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4458,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4454,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4452,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4453,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4589,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4517,HC-C3B-10-D,CORTICOCANCELLOUS CHIPS 1-4mm 10CC FREEZE DRIED,0.00
4300,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4468,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4469,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4464,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4297,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4590,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4467,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4518,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4292,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4301,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4294,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4293,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4298,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4463,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4470,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4462,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4299,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4296,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4465,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4466,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4295,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED (A),0.00
4461,HC-C3B-15-D,CORTICOCANCELLOUS CHIPS 1-4mm 15CC FREEZE DRIED,0.00
4500,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4304,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED (A),0.00
4504,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4491,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4499,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4481,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4519,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED (A),0.00
4501,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4306,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED (A),0.00
4480,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4307,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED (A),0.00
4476,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4505,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4478,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4497,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4506,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4507,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4479,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4488,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4474,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4473,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
4489,HC-C3B-30-D,CORTICOCANCELLOUS CHIPS 1-4mm 30CC FREEZE DRIED,0.00
